=== FLAT FEATURE MATRIX LOG ===
Feature names order: ['jit_enabled', 'total_startup_cost', 'total_cost', 'max_plan_rows', 'total_plan_width', 'Seq Scan', 'Hash Join', 'Nested Loop', 'Aggregate', 'Sort', 'Other_Operators']
Query 12: [0.0, -0.6018615365028381, -0.6406608819961548, -0.39487215876579285, -0.9598869681358337, -0.9267388582229614, -0.2014864832162857, -0.8491160869598389, 1.4719600677490234, 1.271884560585022, -0.4853607714176178]
Query 13: [0.0, -0.6666119694709778, -0.643377959728241, -0.4797441065311432, -0.5920825004577637, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.880840003490448]
Query 14: [0.0, -0.49148544669151306, -0.5634422302246094, -0.10230487585067749, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 15: [0.0, -0.8075457811355591, -0.8167038559913635, -0.466532826423645, -0.49479225277900696, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, -1.4719600677490234, 1.271884560585022, -0.4853607714176178]
Query 16: [0.0, -0.7755162715911865, -0.702437698841095, 0.4584130048751831, -0.9551410675048828, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.08988155424594879]
Query 17: [0.0, 0.45346149802207947, 0.32018712162971497, 0.4584130048751831, 0.053355053067207336, -0.20715336501598358, 0.5372973084449768, -0.1898023933172226, 1.4719600677490234, 1.271884560585022, 0.3055976629257202]
Query 18: [0.0, -0.8205105066299438, -0.8308709859848022, -0.492923378944397, -0.829375684261322, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -1.6227493286132812, -0.880840003490448]
Query 19: [0.0, -0.6629119515419006, -0.6791974902153015, -0.4925283193588257, -0.5493696928024292, -0.20715336501598358, -0.2014864832162857, 0.4695112705230713, -1.4719600677490234, -0.17543236911296844, 1.4920353889465332]
Query 20: [0.0, -0.7209529876708984, -0.7040121555328369, -0.44524624943733215, -0.26224491000175476, -0.20715336501598358, -0.2014864832162857, 1.7881386280059814, -1.4719600677490234, 1.271884560585022, 1.0965561866760254]
Query 21: [0.0, -0.8396700620651245, -0.8513285517692566, -0.49264007806777954, -0.2005486786365509, -0.20715336501598358, -0.9402703046798706, -0.1898023933172226, 2.943920135498047, -0.17543236911296844, -0.4853607714176178]
Query 22: [0.0, 0.2704010009765625, 0.0741359144449234, 0.678488552570343, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 23: [0.0, -0.734043538570404, -0.7259296774864197, -0.4168491065502167, 1.8116977214813232, 1.2320176362991333, 0.5372973084449768, 2.4474523067474365, -1.4719600677490234, -0.17543236911296844, 1.887514591217041]
Query 24: [0.0, 0.4404953420162201, 0.355240136384964, -0.3431842625141144, -0.5517426133155823, -0.20715336501598358, -0.2014864832162857, -0.1898023933172226, 0.0, 1.271884560585022, -0.4853607714176178]
Query 25: [0.0, -0.5909214019775391, -0.5964654684066772, -0.4815169870853424, -0.902936577796936, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -0.17543236911296844, -0.880840003490448]
Query 26: [0.0, -0.2482336163520813, -0.22501446306705475, -0.45601946115493774, 0.1886121779680252, 1.2320176362991333, 1.2760812044143677, 0.4695112705230713, 0.0, 1.271884560585022, 0.7010769248008728]
Query 27: [0.0, -0.23058637976646423, -0.2657805383205414, -0.4702512323856354, -0.9503952264785767, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -1.6227493286132812, -1.2763192653656006]
Query 28: [0.0, -0.3854318857192993, -0.44783395528793335, -0.42381542921066284, 0.9052376747131348, -0.20715336501598358, 0.5372973084449768, 1.1288249492645264, 0.0, -0.17543236911296844, 1.4920353889465332]
Query 29: [0.0, -0.4889948070049286, -0.21054627001285553, -0.4850631058216095, 0.3214963972568512, 1.2320176362991333, 1.2760812044143677, 1.7881386280059814, 0.0, -0.17543236911296844, 1.4920353889465332]
